"name","gender","year","count"
"AZALEA","F",2018,607
"LEONA","F",2018,607
"ALEJANDRA","F",2018,605
"BRISTOL","F",2018,605
"COLLINS","F",2018,604
"IMANI","F",2018,603
"MEADOW","F",2018,602
"ALEXIA","F",2018,600
"EDITH","F",2018,599
"KAYDENCE","F",2018,599
"LESLIE","F",2018,597
"LILITH","F",2018,597
"KORA","F",2018,596
"AISHA","F",2018,595
"MEREDITH","F",2018,595
"DANNA","F",2018,593
"WYNTER","F",2018,591
"EMBERLY","F",2018,589
"JULIETA","F",2018,588
"MICHAELA","F",2018,588
"ALAYAH","F",2018,586
"JEMMA","F",2018,586
"REIGN","F",2018,586
"COLETTE","F",2018,585
"KALIYAH","F",2018,585
"ELLIOTT","F",2018,583
"JOHANNA","F",2018,582
"REMY","F",2018,581
"SUTTON","F",2018,581
"EMMY","F",2018,580
"VIRGINIA","F",2018,578
"BRIANA","F",2018,572
"OAKLYNN","F",2018,572
"ADELINA","F",2018,566
"EVERLEE","F",2018,566
"MEGAN","F",2018,564
"ANGELICA","F",2018,562
"JUSTICE","F",2018,561
"MARIAM","F",2018,561
"KHALEESI","F",2018,560
"MACIE","F",2018,558
"KARSYN","F",2018,557
"ALANNA","F",2018,556
"ALEAH","F",2018,556
"MAE","F",2018,556
"MALLORY","F",2018,556
"ESME","F",2018,552
"SKYLA","F",2018,552
"MADILYNN","F",2018,551
"CHARLEY","F",2018,550
"ALLYSON","F",2018,549
"HANNA","F",2018,549
"SHILOH","F",2018,548
"HENLEY","F",2018,547
"MACY","F",2018,547
"MARYAM","F",2018,545
"IVANNA","F",2018,544
"ASHLYNN","F",2018,543
"LORELAI","F",2018,539
"AMORA","F",2018,538
"ASHLYN","F",2018,538
"SASHA","F",2018,536
"BAYLEE","F",2018,535
"BEATRICE","F",2018,535
"ITZEL","F",2018,532
"PRISCILLA","F",2018,532
"MARIE","F",2018,530
"JAYDA","F",2018,529
"LIBERTY","F",2018,529
"RORY","F",2018,529
"ALESSIA","F",2018,528
"ALAIA","F",2018,524
"JANELLE","F",2018,524
"KALANI","F",2018,523
"GLORIA","F",2018,521
"SLOAN","F",2018,519
"DOROTHY","F",2018,517
"GRETA","F",2018,517
"JULIE","F",2018,516
"ZAHRA","F",2018,516
"SAVANNA","F",2018,515
"ANNABELLA","F",2018,514
"POPPY","F",2018,513
"AMALIA","F",2018,510
"ZAYLEE","F",2018,508
"CECELIA","F",2018,507
"CORALINE","F",2018,507
"KIMBER","F",2018,506
"EMMIE","F",2018,505
"ANNE","F",2018,504
"KARINA","F",2018,504
"KASSIDY","F",2018,504
"KYNLEE","F",2018,502
"MONROE","F",2018,500
"ANAHI","F",2018,496
"JALIYAH","F",2018,496
"JAZMIN","F",2018,496
"MAREN","F",2018,495
"MONICA","F",2018,495
"SIENA","F",2018,495
"MARILYN","F",2018,494
"REYNA","F",2018,494
"KYRA","F",2018,491
"LILIAN","F",2018,491
"JAMIE","F",2018,488
"MELANY","F",2018,488
"ALAYA","F",2018,485
"ARIYA","F",2018,485
"KELLY","F",2018,484
"ROSIE","F",2018,481
"ADLEY","F",2018,480
"DREAM","F",2018,480
"JAYLAH","F",2018,480
"LAUREL","F",2018,480
"JAZMINE","F",2018,478
"MINA","F",2018,477
"KARLA","F",2018,476
"BAILEE","F",2018,475
"AUBRIE","F",2018,474
"KATALINA","F",2018,472
"MELINA","F",2018,471
"HARLEE","F",2018,470
"ELLIOT","F",2018,469
"HAYLEY","F",2018,469
"ELAINE","F",2018,468
"KAREN","F",2018,468
